Date,USA,PersianGulf,OAPEC,OPEC,Canada,Mexico,Iraq,Venezuela
JAN2001,"8,453","21,571","22,035","33,142","2,032","3,087","1,705","3,240"
FEB2001,"8,825","21,287","21,808","32,669","2,052","3,136","2,157","3,167"
MAR2001,"8,978","21,975","22,430","33,293","2,070","3,151","2,805","3,135"
APR2001,"8,963","21,425","21,894","32,527","2,046","3,008","2,879","3,052"
MAY2001,"9,058","21,292","21,799","32,287","2,027","3,031","2,854","3,020"
JUN2001,"8,940","19,712","20,178","30,832","1,971","3,140","1,086","3,031"
JUL2001,"8,966","21,020","21,418","32,039","1,953","3,185","2,108","3,020"
AUG2001,"8,913","21,459","21,949","32,515","1,954","3,175","2,825","3,010"
SEP2001,"9,002","20,628","21,189","31,603","2,009","3,177","2,626","2,842"
OCT2001,"9,130","20,547","21,170","31,524","2,046","2,993","2,860","2,874"
NOV2001,"9,241","20,413","21,040","31,412","2,082","3,168","2,756","2,863"
DEC2001,"9,012","19,523","20,194","30,478","2,110","3,274","1,990","2,874"
JAN2002,"9,014","19,411","20,101","29,987","2,091","3,253","2,315","2,630"
FEB2002,"9,077","19,474","20,191","29,987","2,167","3,142","2,545","2,600"
MAR2002,"9,116","19,626","20,348","30,207","2,159","3,125","2,515","2,620"
APR2002,"9,144","18,533","19,291","29,042","2,204","3,178","1,215","2,530"
MAY2002,"9,312","19,228","20,043","29,906","2,130","3,136","1,865","2,730"
JUN2002,"9,154","18,958","19,741","29,618","2,155","3,158","1,525","2,735"
JUL2002,"8,973","19,555","20,351","30,217","2,201","3,145","1,835","2,735"
AUG2002,"9,151","19,305","20,077","30,086","2,165","3,214","1,505","2,765"
SEP2002,"8,686","19,863","20,644","30,913","2,135","3,162","1,825","2,955"
OCT2002,"8,553","20,600","21,420","31,718","2,179","3,257","2,425","2,980"
NOV2002,"8,921","20,772","21,584","31,789","2,224","3,080","2,395","2,972"
DEC2002,"8,902","20,796","21,621","29,693","2,238","3,269","2,325","1,020"
JAN2003,"8,901","21,447","22,286","30,159","2,220","3,330","2,549",630
FEB2003,"8,936","21,892","22,686","31,570","2,215","3,325","2,484","1,450"
MAR2003,"8,928","21,833","22,662","32,215","2,235","3,317","1,370","2,390"
APR2003,"8,781","20,794","21,742","31,501","2,185","3,282",53,"2,555"
MAY2003,"8,746","20,718","21,671","31,593","2,190","3,320",292,"2,665"
JUN2003,"8,677","19,964","20,886","30,932","2,250","3,396",452,"2,640"
JUL2003,"8,550","20,118","21,019","31,181","2,405","3,400",572,"2,640"
AUG2003,"8,719","20,597","21,488","31,720","2,365","3,426","1,050","2,640"
SEP2003,"8,971","20,857","21,757","32,177","2,350","3,417","1,399","2,640"
OCT2003,"8,774","21,556","22,450","32,870","2,325","3,398","1,749","2,640"
NOV2003,"8,769","21,655","22,494","32,931","2,440","3,380","1,848","2,540"
DEC2003,"8,830","22,205","22,961","33,646","2,480","3,455","1,948","2,540"
JAN2004,"8,780","22,518","23,219","33,842","2,414","3,417","2,103","2,540"
FEB2004,"8,810","22,448","23,168","33,799","2,470","3,360","2,003","2,540"
MAR2004,"8,868","22,202","22,845","33,523","2,440","3,368","2,203","2,540"
APR2004,"8,779","21,997","22,665","33,340","2,363","3,439","2,303","2,540"
MAY2004,"8,790","21,817","22,452","33,162","2,384","3,394","1,903","2,540"
JUN2004,"8,584","23,216","23,900","34,662","2,430","3,436","1,703","2,540"
JUL2004,"8,708","23,556","24,311","35,085","2,410","3,363","2,003","2,540"
AUG2004,"8,731","23,446","24,190","34,912","2,370","3,354","1,803","2,540"
SEP2004,"8,283","23,946","24,695","35,432","2,407","3,431","2,303","2,540"
OCT2004,"8,470","23,853","24,595","35,465","2,369","3,451","2,203","2,640"
NOV2004,"8,818","23,368","24,158","34,957","2,435","3,364","1,703","2,540"
DEC2004,"8,780","23,578","24,323","35,184","2,295","3,222","1,903","2,640"
JAN2005,"8,687","23,670","24,494","35,536","2,330","3,351","1,903","2,640"
FEB2005,"8,792","23,740","24,551","35,667","2,298","3,349","1,903","2,640"
MAR2005,"8,854","23,790","24,637","35,829","2,172","3,252","1,903","2,640"
APR2005,"8,880","23,950","24,793","35,981","2,300","3,409","1,903","2,540"
MAY2005,"8,917","23,760","24,593","35,883","2,360","3,441","1,903","2,540"
JUN2005,"8,727","23,875","24,621","36,051","2,330","3,425","1,903","2,540"
JUL2005,"8,353","24,085","24,829","36,322","2,339","3,082","2,003","2,540"
AUG2005,"8,399","24,050","24,810","36,297","2,372","3,414","1,903","2,540"
SEP2005,"7,060","24,310","25,111","36,699","2,262","3,367","2,053","2,540"
OCT2005,"7,365","23,925","24,780","36,333","2,462","3,221","1,803","2,540"
NOV2005,"7,918","23,825","24,681","36,277","2,548","3,311","1,703","2,540"
DEC2005,"7,930","23,730","24,609","36,212","2,645","3,388","1,653","2,540"
JAN2006,"8,272","23,573","24,464","35,938","2,595","3,372","1,603","2,540"
FEB2006,"8,220","23,778","24,713","35,996","2,504","3,311","1,803","2,540"
MAR2006,"8,107","23,653","24,659","35,831","2,411","3,350","1,903","2,540"
APR2006,"8,281","23,657","24,679","35,857","2,531","3,370","1,903","2,540"
MAY2006,"8,360","23,457","24,489","35,531","2,341","3,329","1,903","2,540"
JUN2006,"8,388","23,712","24,655","35,855","2,336","3,287","2,153","2,540"
JUL2006,"8,384","24,087","25,061","36,251","2,512","3,232","2,203","2,440"
AUG2006,"8,407","24,117","25,090","36,378","2,543","3,252","2,203","2,490"
SEP2006,"8,354","23,767","24,785","35,990","2,601","3,258","2,153","2,490"
OCT2006,"8,373","23,542","24,565","35,778","2,602","3,173","2,103","2,490"
NOV2006,"8,339","23,212","24,157","35,396","2,658","3,163","2,003","2,490"
DEC2006,"8,472","23,112","24,077","35,331","2,669","2,978","2,003","2,490"
JAN2007,"8,390","22,910","23,912","35,044","2,549","3,143","1,753","2,380"
FEB2007,"8,344","22,802","23,933","34,951","2,586","3,148","2,003","2,383"
MAR2007,"8,404","22,889","24,018","34,982","2,701","3,182","2,053","2,445"
APR2007,"8,483","22,936","24,059","35,209","2,605","3,182","2,103","2,445"
MAY2007,"8,538","22,936","24,096","35,070","2,582","3,110","2,103","2,444"
JUN2007,"8,483","22,854","24,051","34,967","2,485","3,206","2,003","2,444"
JUL2007,"8,449","22,960","24,176","35,262","2,599","3,166","2,053","2,444"
AUG2007,"8,319","22,915","24,126","35,230","2,795","2,843","1,903","2,444"
SEP2007,"8,325","23,466","24,703","35,875","2,689","3,161","2,203","2,440"
OCT2007,"8,500","23,576","24,774","36,074","2,657","2,995","2,303","2,440"
NOV2007,"8,578","23,234","24,443","35,871","2,674","2,901","2,253","2,440"
DEC2007,"8,659","23,884","25,095","36,614","2,469","2,954","2,303","2,440"
JAN2008,"8,624","23,998","25,137","36,517","2,529","2,957","2,153","2,440"
FEB2008,"8,625","24,226","25,363","36,678","2,561","2,929","2,303","2,440"
MAR2008,"8,664","24,237","25,372","36,897","2,583","2,847","2,303","2,430"
APR2008,"8,717","24,150","25,270","36,584","2,526","2,767","2,303","2,420"
MAY2008,"8,879","24,606","25,702","36,939","2,452","2,798","2,453","2,410"
JUN2008,"8,665","24,678","25,793","37,096","2,481","2,839","2,453","2,400"
JUL2008,"8,764","25,117","26,141","37,519","2,670","2,782","2,505","2,390"
AUG2008,"8,608","24,995","26,034","37,413","2,647","2,759","2,456","2,380"
SEP2008,"7,121","24,634","25,745","37,015","2,564","2,722","2,328","2,370"
OCT2008,"8,214","24,554","25,667","37,034","2,637","2,757","2,328","2,360"
